City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,taybad,34.74,60.7756,28.1,32,0,7.03,IR,1722042619
84,isafjordur,66.0755,-23.124,7.16,98,100,0.59,IS,1722042620
85,tura,25.5198,90.2201,27.32,92,100,1.44,IN,1722042621
86,ilhabela,-23.7781,-45.3581,20.42,61,100,1.2,BR,1722042622
87,bryne,58.7354,5.6477,14.76,92,75,3.6,NO,1722042624
88,urdinarrain,-32.6857,-58.8932,13.15,71,100,2.42,AR,1722042625
89,iwanai,42.9744,140.5089,22.91,86,100,1.13,JP,1722042626
90,yemetsk,63.4721,41.7941,10.08,67,78,1.99,RU,1722042627
91,jindabyne,-36.4167,148.6333,10.96,29,3,1.49,AU,1722042339
92,oranjemund,-28.55,16.4333,11.99,82,2,1.72,NA,1722042630
93,quzhou,28.9594,118.8686,26.78,91,100,2.53,CN,1722042631
94,hamilton,39.1834,-84.5333,24.68,55,0,4.63,US,1722042632
95,cabo san lucas,22.8909,-109.9124,35.61,62,1,8.09,MX,1722042480
96,luderitz,-26.6481,15.1594,12.56,70,91,2.22,NA,1722042634
97,aleksandrovsk-sakhalinskiy,50.8975,142.1561,20.36,71,0,6.02,RU,1722042636
98,san patricio,28.017,-97.5169,28.24,75,100,3.39,US,1722042637
99,envira,-7.3,-70.2167,26.62,54,14,0.83,BR,1722042639
100,taunggyi,20.7833,97.0333,20.34,95,100,1.88,MM,1722042640
101,xining,36.6167,101.7667,19.14,55,96,0.6,CN,1722042642
102,guerrero negro,27.9769,-114.0611,21.85,79,17,7.68,MX,1722042643
103,invercargill,-46.4,168.35,11.12,93,92,1.34,NZ,1722042617
104,saint-pierre,-21.3393,55.4781,19.82,49,0,3.6,RE,1722042645
105,afaahiti,-17.75,-149.2833,26.93,71,39,6.22,PF,1722042646
106,punta arenas,-53.15,-70.9167,1.06,80,0,9.77,CL,1722042647
107,katutura,-22.521,17.0557,6.44,12,0,0.45,NA,1722042649
108,vila franca do campo,37.7167,-25.4333,24.23,92,100,4.07,PT,1722042650
109,el nido,11.1858,119.3956,30.64,77,99,1.38,PH,1722042651
110,port alfred,-33.5906,26.891,14.1,80,0,2.88,ZA,1722042652
111,sambava,-14.2667,50.1667,20.27,88,57,2.93,MG,1722042653
112,udachny,66.4167,112.4,16.54,41,100,0.32,RU,1722042655
113,revda,56.801,59.9303,10.51,98,100,5.76,RU,1722042656
114,klyuchi,52.2667,79.1667,24.83,64,100,2.3,RU,1722042657
115,san antonio de pale,-1.4014,5.6325,22.88,87,100,5.19,GQ,1722042658
116,puerto ayora,-0.7393,-90.3518,19.75,93,30,2.68,EC,1722042659
117,beledweyne,4.7358,45.2036,23.77,78,81,7.4,SO,1722042661
118,dombarovskiy,50.7587,59.5386,12.38,83,0,6.71,RU,1722042662
119,ust-nera,64.5667,143.2,17.35,37,100,1.91,RU,1722042663
120,twon-brass,4.3151,6.2418,25.48,85,95,5.8,NG,1722042664
121,banda aceh,5.5577,95.3222,28.6,67,96,4.66,ID,1722042665
122,santander,43.4647,-3.8044,19.14,88,100,1.03,ES,1722042667
123,conduaga,8.862,117.4893,29.82,68,92,1.01,PH,1722042668
124,remire-montjoly,4.9167,-52.2667,24.02,94,0,1.03,GF,1722042669
125,hilo,19.7297,-155.09,27.85,74,40,5.66,US,1722042670
126,qaqortoq,60.7167,-46.0333,3.72,83,100,1.96,GL,1722042672
127,oriximina,-1.7656,-55.8661,27.71,54,21,1.82,BR,1722042673
128,sweetwater,25.7634,-80.3731,30.01,77,40,4.12,US,1722042629
129,chilca,-12.5211,-76.7372,15.93,86,68,2.6,PE,1722042676
130,hami,42.8,93.45,33.45,14,100,2.46,CN,1722042677
131,broken hill,-31.95,141.4333,13.15,36,99,5.94,AU,1722042679
132,el porvenir,13.7617,-87.3458,23.63,74,61,2.56,HN,1722042680
133,fale old settlement,-9.3852,-171.2468,28.06,68,26,2.77,TK,1722042681
134,san miguel,13.4833,-88.1833,25.85,91,75,1.01,SV,1722042682
135,pasni,25.2631,63.471,28.12,88,90,1.26,PK,1722042683
136,idri,27.5,13.2667,31.17,22,7,5.64,LY,1722042685
137,tanah merah,5.8,102.15,25.95,94,100,1.21,MY,1722042686
138,naze,28.3667,129.4833,28.71,78,18,5.61,JP,1722042687
139,selfoss,63.9331,-20.9971,10.37,92,40,2.44,IS,1722042688
140,alice springs,-23.7,133.8833,13.75,72,9,2.57,AU,1722042689
141,jaslo,49.7451,21.4725,18.28,75,100,1.18,PL,1722042691
142,aztec,36.8222,-107.9929,33.67,51,5,5.73,US,1722042692
143,saint croix,17.7397,-64.7388,27.75,85,100,1.79,VI,1722042693
144,uyskoye,54.3775,60.0047,11.21,96,100,6.51,RU,1722042694
145,alotau,-10.3069,150.4462,25.85,66,100,2.99,PG,1722042696
146,bilibino,68.0546,166.4372,8.96,53,86,1.35,RU,1722042697
147,puerto deseado,-47.7503,-65.8938,7.8,54,84,11.92,AR,1722042698
